Company Name,Net Sales,PBIDTM (%),PATM (%),ROE (%),ROCE (%),Asset Turnover(x),Total Debt/Equity(x),Cons OCF,Cons PAT,OCF/PAT,FR_Dividend Pay Out Ratio(%),Free Float,Ev/EBITDA,M/Sales
3I Infotech Ltd.,1681.02,32.07,-39.82,-70.15,-1.18,0.83,5.61,-154.46,-360.03,0.43,0,64.5,4.92,0.24
3M India Ltd.,1405.1,17.29,8.81,22.66,32.52,3.54,0.25,20.89,64.77,0.32,0,12.95,29.25,3.61
Aavas Financiers Ltd.,0.29,55.55,2.74,0.03,0.6,0.02,0,-0.64,0,-160.45,0,#N/A,0,0
ABB India Ltd.,7451.79,10.57,4.96,14.58,24.79,2.37,0,120,184.71,0.65,34.43,13.15,41.88,2.25
Abbott India Ltd.,1490.21,25.88,15.96,56.69,84.84,3.22,0,24.07,120.39,0.2,30,21.68,17.6,2.5
Accelya Solutions India Ltd.,437.52,114.21,65.54,102.75,147.45,4.88,0.02,88.43,81.57,1.08,86,18.34,2.56,0.84
Aegis Logistics Ltd.,4463.83,4.5,1,15.71,11.84,5.09,14.47,-147.17,19.68,-7.48,33.94,20.7,14.44,0.26
AGC Networks Ltd.,994.6,22.65,12.73,43.4,53.11,2.92,0.8,-46.2,63.5,-0.73,33.54,20.56,3.44,0.3
Agro Tech Foods Ltd.,704.54,16.07,10.29,37.54,52.74,5.19,0,27.7,36.28,0.76,11.76,21.45,26.44,1.33
Akzo Nobel India Ltd.,1987.8,26.54,18.67,32.05,39.58,2.31,0,137.1,201.8,0.68,36.47,17.77,15.54,3.53
Allsec Technologies Ltd.,183.14,4.84,-16.08,-27.43,-17.57,2.58,0.04,-10.52,-16.98,0.62,0,20.72,2.15,0.16
Ambuja Cements Ltd.,8519.01,46.46,25.45,31.97,45.61,1.76,0.02,1531.78,1227.74,1.25,39.99,33.76,9.93,2.97
Andhra Paper Ltd.,595.23,23.35,-31.05,-36.95,5.03,1.02,1.99,69.55,-97.81,-0.71,0,19.81,9.23,1.3
Asahi India Glass Ltd.,1666.5,19.88,-7.17,-75.4,6.13,1.75,22.75,177.99,-65.12,-2.73,0,31.68,10.38,0.71
Asian Hotels (East) Ltd.,85.41,100.18,65.45,7.14,9.17,0.21,0,21,27.96,0.75,18.41,19.14,7.66,4.13
Asian Hotels (North) Ltd.,353.49,81.81,-52.89,-32.88,5.64,0.29,3.95,163.26,-27.11,-6.02,-10.77,15.27,11.1,1.13
Asian Hotels (West) Ltd.,135.67,66.46,6.98,3.1,10.12,0.34,2.93,40.48,8.36,4.84,54.8,23.01,8.68,1.36
Asian Oilfield Services Ltd.,45.34,-7.37,-39.89,-20.81,-21.33,0.77,0.49,-6.47,-9.04,0.72,0,19.22,5.18,1.07
Astrazeneca Pharma India Ltd.,530.82,13.45,7.27,21.43,31.71,3.46,0,38.73,19.77,1.96,44.27,10,31.26,6.68
Banco Products (India) Ltd.,1018.86,24.74,14.39,39.49,42.16,3.15,0.69,108.65,76.53,1.42,23.36,21.21,5.1,0.55
BASF India Ltd.,3515.94,11.5,5.39,20,27.9,3.75,0.37,181.62,100.86,1.8,17.17,17.96,13.87,1.64
Bata India Ltd.,1549.05,51.42,32.94,114.92,148.51,3.53,0,31.36,258.86,0.12,14.9,31.11,18.28,2.92
Bayer CropScience Ltd.,2272.3,25.23,11.77,37.93,52.37,1.75,0,106.7,139,0.77,11.94,18.69,11.76,1.51
Bilcare Ltd.,3641.79,26.58,7.69,24.04,28.7,2.11,2.13,92.44,136.56,0.68,3.45,29.89,4.04,0.26
Black Rose Industries  Ltd.,93.41,7.19,0.41,3.21,14.33,3.32,3.51,4.66,0.19,24.15,0,19.16,6.5,0.32
Blue Dart Express Ltd.,1495.38,26.96,16.42,40.63,59.5,3.24,0,107.03,124.19,0.86,3.82,7.04,21.65,3.02
Bosch Ltd.,8165.8,41.79,25.6,50.88,66.93,2.51,0.13,444.6,1122.7,0.4,37.76,18.48,12.57,2.89
Cairn India Ltd. (Amalgamated),11860.65,171.87,133.85,35.89,37.42,0.47,0.05,7068.95,7937.74,0.89,0,14.55,5.7,5.01
Capital First Ltd. - (Amalgamated),740.15,149.91,28.6,28.22,25.64,0.32,10.75,-1294.39,105.83,-12.23,9.14,23.43,8.75,1.87
Castrol India Ltd.,2993.27,41.97,27.18,166.2,247.95,5.37,0,352.38,481.03,0.73,77.11,23.97,14.88,4.11
Clariant Chemicals (India) Ltd.,961.64,34.08,59.59,142.88,186.11,2.79,0,21.45,304.39,0.07,52.55,32.91,9.58,1.86
CMI FPE Ltd.,351.8,12.13,5.9,14.86,24.31,1.75,0.05,-27.44,10.96,-2.5,22.52,19.73,8.03,1.34
Colgate-Palmolive (India) Ltd.,2693.23,44.86,31.83,217.94,287.92,3.61,0,402.84,446.47,0.9,76.15,35.41,23.31,6.5
CreditAccess Grameen Ltd.,59.53,100.38,-9.75,-11.1,38.63,0.39,4.2,-79.18,-2.9,27.28,0,#N/A,0,0
CRISIL Ltd.,806.96,75.65,51.16,101.64,135.6,2.51,0,260.39,206.42,1.26,37.33,16.57,19.04,7.82
CSB Bank Ltd.,1075.63,17.39,4.82,10.04,11.24,0,2.18,246.99,25.9,9.54,21.25,#N/A,0,0
Cummins India Ltd.,4117.22,37.21,26.81,61.44,86.25,2.97,0,442.49,591.27,0.75,51.57,27.8,18.48,3.39
Dabur India Ltd.,5305.42,34.31,24.09,94.24,65.91,2.5,1.43,596.93,644.89,0.93,35.12,21.9,21.55,3.99
